initials,age,binary sex (F/M),time,word,likert_competitiveness,likert_traits,affectedness
CDNF,23,Female,4.049407583021093,slange,4,2,3
CDNF,23,Female,2.2613229580165353,elefant,4,2,3
CDNF,23,Female,1.7163333749922458,løve,4,2,3
CDNF,23,Female,1.7162502919964027,hest,4,2,3
CDNF,23,Female,0.7656531250104308,mus,4,2,3
CDNF,23,Female,5.783709999988787,æsel,4,2,3
CDNF,23,Female,3.4656465830048546,hund,4,2,3
CDNF,23,Female,1.0056974580220412,kat,4,2,3
CDNF,23,Female,4.510842499992577,krokodille,4,2,3
CDNF,23,Female,3.249607834004564,vandmand,4,2,3
CDNF,23,Female,2.8489267909899354,hval,4,2,3
CDNF,23,Female,3.8336840420088265,sæl,4,2,3
CDNF,23,Female,6.883104000007734,struds,4,2,3
CDNF,23,Female,14.332584499992663,bjørn,4,2,3
